"AREA TERRITORIAL";"CODIGO CENTRO";"TIPO DE CENTRO";"CENTRO";"DOMICILIO";"MUNICIPIO";"DISTRITO MUNICIPAL";"COD. POSTAL";"TELEFONO";"FAX";"EMAIL";"EMAIL2";"TITULARIDAD";"URL";"E-MAIL";"TITULAR";"SEGREGADA";"EDUC. DIFERENCIADA";"Total 2017-2018";"Total 2018-2019";"Total 2019-2020";"Total 2020-2021";"Total 2021-2022";"Educación Infantil Especial 2017-2018";"Educación Infantil Especial 2018-2019";"Educación Infantil Especial 2019-2020";"Educación Infantil Especial 2020-2021";"Educación Infantil Especial 2021-2022";"Infantil I Ciclo 2017-2018";"Infantil I Ciclo 2018-2019";"Infantil I Ciclo 2019-2020";"Infantil I Ciclo 2020-2021";"Infantil I Ciclo 2021-2022";"Infantil II Ciclo 2017-2018";"Infantil II Ciclo 2018-2019";"Infantil II Ciclo 2019-2020";"Infantil II Ciclo 2020-2021";"Infantil II Ciclo 2021-2022";"Educación Básica Obligatoria 2017-2018";"Educación Básica Obligatoria 2018-2019";"Educación Básica Obligatoria 2019-2020";"Educación Básica Obligatoria 2020-2021";"Educación Básica Obligatoria 2021-2022";"Primaria 2017-2018";"Primaria 2018-2019";"Primaria 2019-2020";"Primaria 2020-2021";"Primaria 2021-2022";"ESO 2017-2018";"ESO 2018-2019";"ESO 2019-2020";"ESO 2020-2021";"ESO 2021-2022";"Bachillerato 2017-2018";"Bachillerato 2018-2019";"Bachillerato 2019-2020";"Bachillerato 2020-2021";"Bachillerato 2021-2022";"FP GM 2017-2018";"FP GM 2018-2019";"FP GM 2019-2020";"FP GM 2020-2021";"FP GM 2021-2022";"FP GS 2017-2018";"FP GS 2018-2019";"FP GS 2019-2020";"FP GS 2020-2021";"FP GS 2021-2022";"FPB 2017-2018";"FPB 2018-2019";"FPB 2019-2020";"FPB 2020-2021";"FPB 2021-2022";"PCPI: Módulos Voluntarios 2017-2018";"PCPI: Módulos Voluntarios 2018-2019";"PCPI: Módulos Voluntarios 2019-2020";"PCPI: Módulos Voluntarios 2020-2021";"PCPI: Módulos Voluntarios 2021-2022";"PCPI: Especial 2017-2018";"PCPI: Especial 2018-2019";"PCPI: Especial 2019-2020";"PCPI: Especial 2020-2021";"PCPI: Especial 2021-2022";"Programa Formación Transición Vida Adulta 2017-2018";"Programa Formación Transición Vida Adulta 2018-2019";"Programa Formación Transición Vida Adulta 2019-2020";"Programa Formación Transición Vida Adulta 2020-2021";"Programa Formación Transición Vida Adulta 2021-2022";"Programas Profesionales Modalidad Especial 2017-2018";"Programas Profesionales Modalidad Especial 2018-2019";"Programas Profesionales Modalidad Especial 2019-2020";"Programas Profesionales Modalidad Especial 2020-2021";"Programas Profesionales Modalidad Especial 2021-2022";"lat";"lng";"Programas Profesionales Modalidad General 2019-2020";"Programas Profesionales Modalidad General 2020-2021";"Programas Profesionales Modalidad General 2021-2022"
"Madrid-Oeste";"28049201";"EEI";"VALLE DE LUZ";"Calle Las Dálias, 3 ";"Molinos. Los";"-";"28460";"918553537";"-";"eei.valledeluz.losmolinos@educa.madrid.org";"-";"Público";"http://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28049201";"eei.valledeluz.losmolinos@educa.madrid.org";"";"NO";"";"28";"32";"47";"48";"54";"";"";"";"";"";"28";"32";"47";"48";"54";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.7140454";"-4.0748158";"";"";""
"Madrid-Sur";"28044343";"EEI";"VALLE DE ORDESA";"Calle Argentina, 9 ";"Fuenlabrada";"-";"28944";"916972494";"916972494";"eei.valledeordesa.fuenlabrada@educa.madrid.org";"-";"Público";"http://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28044343";"eei.valledeordesa.fuenlabrada@educa.madrid.org";"";"NO";"";"93";"104";"107";"86";"112";"";"";"";"";"";"93";"104";"107";"86";"112";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.2853899";"-3.787914299999999";"";"";""
"Madrid-Capital";"28043703";"EEI";"VALLE DE ORO";"Calle Del Valle De Oro, 35 ";"Madrid";"Carabanchel";"28019";"914721982";"-";"eei.valledeoro.madrid@educa.madrid.org";"-";"Público";"http://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28043703";"eei.valledeoro.madrid@educa.madrid.org";"";"NO";"";"152";"151";"146";"140";"145";"";"";"";"";"";"152";"151";"146";"140";"145";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.3878419";"-3.7263355";"";"";""
"Madrid-Capital";"28043715";"EEI";"VALLEHERMOSO";"Calle De Fernández De Los Ríos, 42 ";"Madrid";"Chamberí";"28015";"915941326";"915941326";"eei.vallehermoso.madrid@educa.madrid.org";"-";"Público";"http://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28043715";"eei.vallehermoso.madrid@educa.madrid.org";"";"NO";"";"90";"90";"83";"82";"86";"";"";"";"";"";"90";"90";"83";"82";"86";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.4354517";"-3.7095989";"";"";""
"Madrid-Capital";"28065991";"EEI";"VEO-VEO";"Calle De La Condesa De Venadito, 3 ";"Madrid";"Ciudad Lineal";"28027";"918286186";"917651735";"eei.veoveo.madrid@educa.madrid.org";"-";"Público";"http://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28065991";"eei.veoveo.madrid@educa.madrid.org";"";"NO";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.4441155";"-3.6553538";"";"";""
"Madrid-Sur";"28072302";"EEI";"VICTORIA KAMHI";"Avenida Memorial De La Paz De Hirosima, S/n ";"Aranjuez";"-";"28300";"918928876";"-";"eei.victoriakamhi.aranjuez@educa.madrid.org";"-";"Público";"http://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28072302";"eei.victoriakamhi.aranjuez@educa.madrid.org";"";"NO";"";"122";"119";"101";"92";"117";"";"";"";"";"";"122";"119";"101";"92";"117";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.0657661";"-3.5975431";"";"";""
"Madrid-Sur";"28043971";"EEI";"VIRGEN DE LA ASUNCION";"Plaza Virgen Asunción, S/n ";"Pinto";"-";"28320";"912483803";"912483713";"eei.asuncion.pinto@educa.madrid.org";"-";"Público";"http://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28043971";"eei.asuncion.pinto@educa.madrid.org";"";"NO";"";"116";"109";"114";"110";"114";"";"";"";"";"";"116";"109";"114";"110";"114";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.2375052";"-3.6967718";"";"";""
"Madrid-Oeste";"28064101";"EEI";"VIRGEN DEL SOTO";"Calle San Juan De La Cruz, 6 ";"Villanueva del Pardillo";"-";"28229";"918150425";"918150425";"eei.virgendelsoto.villanuevadelpardillo@educa.madrid.org";"-";"Público";"http://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28064101";"eei.virgendelsoto.villanuevadelpardillo@educa.madrid.org";"";"NO";"";"146";"146";"146";"137";"149";"";"";"";"";"";"146";"146";"146";"137";"149";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.49074540000001";"-3.9662022";"";"";""
"Madrid-Capital";"28043727";"EEI";"ZALEO";"Calle De La Fuente De Piedra, 10 ";"Madrid";"Puente de Vallecas";"28018";"917721976";"917721976";"eei.zaleo.madrid@educa.madrid.org";"-";"Público";"http://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28043727";"eei.zaleo.madrid@educa.madrid.org";"";"NO";"";"117";"110";"107";"102";"91";"";"";"";"";"";"42";"42";"39";"39";"38";"75";"68";"68";"63";"53";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.3824107";"-3.6406912";"";"";""
"Madrid-Sur";"28049079";"EEI";"ZARABANDA";"Calle Ataúlfo Argenta, 2 ";"Parla";"-";"28981";"916644808";"-";"eei.zarabanda.parla@educa.madrid.org";"ei.zarabanda@grupo5.net";"Público";"http://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28049079";"eei.zarabanda.parla@educa.madrid.org";"";"NO";"";"118";"118";"114";"108";"113";"";"";"";"";"";"118";"118";"114";"108";"113";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.2296395";"-3.7716883";"";"";""
"Madrid-Capital";"28043739";"EEI";"ZOFIO";"Calle De Fornillos, 3 ";"Madrid";"Usera";"28026";"914693401";"914693401";"eei.zofio.madrid@educa.madrid.org";"-";"Público";"http://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28043739";"eei.zofio.madrid@educa.madrid.org";"";"NO";"";"145";"143";"118";"120";"121";"";"";"";"";"";"77";"75";"51";"64";"68";"68";"68";"67";"56";"53";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.3828085";"-3.7144343";"";"";""
"Madrid-Capital";"28056382";"ZNAS.CN.";"CAPITAL-1, NTRA. SRA. DE LA FUENCISLA";"Calle De Tomelloso, 39 ";"Madrid";"Usera";"28026";"914752598";"-";"zcn.capital1.madrid@educa.madrid.org";"-";"Público";"http://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28056382";"zcn.capital1.madrid@educa.madrid.org";"";"NO";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.3803081";"-3.6981038";"";"";""
"Madrid-Capital";"28057416";"ZNAS.CN.";"CAPITAL-3, SAN MIGUEL";"Avenida De La Virgen Del Carmen, 32 ";"Madrid";"Hortaleza";"28033";"913820145";"-";"zcn.sanmiguel.madrid@educa.madrid.org";"-";"Público";"http://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28057416";"zcn.sanmiguel.madrid@educa.madrid.org";"";"NO";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.4743041";"-3.6522245";"";"";""
"Madrid-Este";"28056242";"ZNAS.CN.";"ESTE-1, VILLAREJO DE SALVANES";"Calle De San José, 2 ";"Villarejo de Salvanés";"-";"28590";"918745068";"-";"zcn.villarejo@educa.madrid.org";"-";"Público";"http://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28056242";"zcn.villarejo@educa.madrid.org";"";"NO";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.1675128";"-3.2744343";"";"";""
"Madrid-Este";"28062680";"ZNAS.CN.";"ESTE-10, TIELMES";"Calle De La Perdiz, 6 ";"Tielmes";"-";"28550";"918746117";"-";"zcn.tielmes@educa.madrid.org";"-";"Público";"http://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28062680";"zcn.tielmes@educa.madrid.org";"";"NO";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.2473156";"-3.3136925";"";"";""
"Madrid-Este";"28068797";"ZNAS.CN.";"ESTE-11, CAMPO REAL";"Calle Peaje, 4 ";"Campo Real";"-";"28510";"918733548";"-";"zcn.camporeal@educa.madrid.org";"-";"Público";"http://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28068797";"zcn.camporeal@educa.madrid.org";"";"NO";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.3403879";"-3.3803241";"";"";""
"Madrid-Este";"28056254";"ZNAS.CN.";"ESTE-2, SAN MARTIN DE LA VEGA";"Avenida Del Doce De Octubre, 33 ";"San Martín de la Vega";"-";"28330";"918946668";"-";"zcn.sanmartindelavega@educa.madrid.org";"-";"Público";"http://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28056254";"zcn.sanmartindelavega@educa.madrid.org";"";"NO";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.20747069999999";"-3.5787779";"";"";""
"Madrid-Este";"28056266";"ZNAS.CN.";"ESTE-3, ARGANDA";"Calle Gran Vía, S/n ";"Arganda del Rey";"-";"28500";"918702178";"-";"zcn.arganda@educa.madrid.org";"-";"Público";"http://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28056266";"zcn.arganda@educa.madrid.org";"";"NO";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.3160251";"-3.4806898";"";"";""
"Madrid-Este";"28056291";"ZNAS.CN.";"ESTE-4, VILLAR DEL OLMO";"Calle Carlos Ruiz, 13 ";"Villar del Olmo";"-";"28512";"918732179";"-";"zcn.villardelolmo@educa.madrid.org";"-";"Público";"http://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28056291";"zcn.villardelolmo@educa.madrid.org";"";"NO";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.33684849999999";"-3.2354913";"";"";""
"Madrid-Este";"28056278";"ZNAS.CN.";"ESTE-5, ALCALA DE HENARES";"Avenida Reyes Magos, 13 ";"Alcalá de Henares";"-";"28806";"918838709";"-";"zcn.alcala@educa.madrid.org";"-";"Público";"http://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28056278";"zcn.alcala@educa.madrid.org";"";"NO";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.4918072";"-3.3771627";"";"";""
"Madrid-Este";"28076575";"ZNAS.CN.";"ESTE-6,  SANTOS DE LA HUMOSA";"Avenida De Madrid, 30 ";"Santos de la Humosa, Los";"-";"28817";"-";"-";"zcn.santosdelahumosa@educa.madrid.org";"-";"Público";"http://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28076575";"zcn.santosdelahumosa@educa.madrid.org";"";"NO";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.5005272";"-3.257901";"";"";""
"Madrid-Este";"28056308";"ZNAS.CN.";"ESTE-7, SAN FERNANDO DE HENARES";"Calle De La Solana, S/n ";"San Fernando de Henares";"-";"28830";"916734343";"-";"zcn.sanfernando@educa.madrid.org";"-";"Público";"http://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28056308";"zcn.sanfernando@educa.madrid.org";"";"NO";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.4555327";"-3.4635899";"";"";""
"Madrid-Este";"28056311";"ZNAS.CN.";"ESTE-8, ORUSCO";"Calle José Cañaveras, 26 ";"Orusco de Tajuña";"-";"28570";"918724800";"918724046";"zcn.orusco@educa.madrid.org";"-";"Público";"http://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28056311";"zcn.orusco@educa.madrid.org";"";"NO";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.2833636";"-3.2091176";"";"";""
"Madrid-Este";"28057829";"ZNAS.CN.";"ESTE-9, TORRES DE LA ALAMEDA";"Plaza De Los Morales, 6 ";"Torres de la Alameda";"-";"28813";"918858489";"-";"zcn.torres@educa.madrid.org";"-";"Público";"http://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28057829";"zcn.torres@educa.madrid.org";"";"NO";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.4054714";"-3.3615643";"";"";""
"Madrid-Norte";"28056151";"ZNAS.CN.";"NORTE-1, COLMENAR VIEJO";"Calle De Gustavo Adolfo Bécquer, 18 ";"Colmenar Viejo";"-";"28770";"918457671";"918457014";"zcn.colmenarviejo@educa.madrid.org";"-";"Público";"http://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28056151";"zcn.colmenarviejo@educa.madrid.org";"";"NO";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.6605173";"-3.780319";"";"";""
"Madrid-Norte";"28062679";"ZNAS.CN.";"NORTE-10, VALDEOLMOS-ALALPARDO";"Calle De Alcalá, 25 ";"Valdeolmos-Alalpardo";"-";"28130";"916202821";"-";"zcn.valdeolmos@educa.madrid.org";"-";"Público";"http://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28062679";"zcn.valdeolmos@educa.madrid.org";"";"NO";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.637846";"-3.4549927";"";"";""
"Madrid-Norte";"28056175";"ZNAS.CN.";"NORTE-3, BUITRAGO DE LOZOYA";"Calle De San Salvador, 6 ";"Buitrago del Lozoya";"-";"28730";"918694094";"-";"zcn.buitrago@educa.madrid.org";"-";"Público";"http://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28056175";"zcn.buitrago@educa.madrid.org";"";"NO";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.9953946";"-3.6344862";"";"";""
"Madrid-Norte";"28056187";"ZNAS.CN.";"NORTE-4, VENTURADA";"Calle De Los Álamos, S/n ";"Venturada";"-";"28729";"918439531";"-";"zcn.venturada@educa.madrid.org";"-";"Público";"http://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28056187";"zcn.venturada@educa.madrid.org";"";"NO";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.7982363";"-3.6211766";"";"";""
"Madrid-Norte";"28056205";"ZNAS.CN.";"NORTE-6, TORREMOCHA DE JARAMA";"Calle Del Río Jarama, 20 ";"Torremocha de Jarama";"-";"28189";"918430904";"-";"zcn.torremocha@educa.madrid.org";"-";"Público";"http://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28056205";"zcn.torremocha@educa.madrid.org";"";"NO";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.366646";"-3.5323654";"";"";""
"Madrid-Norte";"28056217";"ZNAS.CN.";"NORTE-7, LOZOYUELA";"Camino Viejo De Torrelaguna, 2 ";"Lozoyuela-Navas-Sieteiglesias";"-";"28752";"918694094";"-";"zcn.lozoyuela@educa.madrid.org";"-";"Público";"http://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28056217";"zcn.lozoyuela@educa.madrid.org";"";"NO";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.9263273";"-3.6146525";"";"";""
"Madrid-Norte";"28057374";"ZNAS.CN.";"NORTE-8, TALAMANCA DE JARAMA";"Calle Almazara, 22 ";"Talamanca de Jarama";"-";"28160";"918433911";"-";"zcn.talamanca@educa.madrid.org";"-";"Público";"http://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28057374";"zcn.talamanca@educa.madrid.org";"";"NO";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.7479172";"-3.5125023";"";"";""
"Madrid-Oeste";"28056229";"ZNAS.CN.";"OESTE-1, VALDEMORILLO";"Calle Eras De San Juan, 12 ";"Valdemorillo";"-";"28210";"918990257";"-";"zcn.valdemorillo@educa.madrid.org";"-";"Público";"http://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28056229";"zcn.valdemorillo@educa.madrid.org";"";"NO";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.50023729999999";"-4.0588864";"";"";""
"Madrid-Oeste";"28056230";"ZNAS.CN.";"OESTE-2, MORALZARZAL";"Camino De Alpedrete, 2 ";"Moralzarzal";"-";"28411";"918578421";"-";"zcn.moralzarzal@educa.madrid.org";"-";"Público";"http://gestiona.comunidad.madrid/wpad_pub/run/j/MostrarFichaCentro.icm?cdCentro=28056230";"zcn.moralzarzal@educa.madrid.org";"";"NO";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40.6769052";"-3.9741205";"";"";""
