CONSULTA DE CENTROS Y SERVICIOS EDUCATIVOS;;;;;;;;;;;;;;
AREA TERRITORIAL;CODIGO CENTRO;TIPO DE CENTRO;CENTRO;DOMICILIO;MUNICIPIO;DISTRITO MUNICIPAL;COD. POSTAL;TELEFONO;FAX;EMAIL;EMAIL2;TITULARIDAD
Madrid-Capital;28010680;CP INF-PRI;FRANCISCO DE GOYA;Calle De Antillón, 23 ;Madrid;Latina;28011;914637472;914633270;cp.goya.madrid@educa.madrid.org;-;Público;
Madrid-Capital;28010643;CP INF-PRI;FRANCISCO DE LUIS;Calle Del Corregidor Rodrigo Rodríguez, 5 ;Madrid;Moratalaz;28030;914394600;913284275;cp.franciscodeluis.madrid@educa.madrid.org;-;Público;
Madrid-Sur;28063829;CP INF-PRI;FRANCISCO DE ORELLANA;Calle Barcelona, 19 ;Arroyomolinos;-;28939;916096054;916897935;cp.franciscodeorellana.arroyomolinos@educa.madrid.org;-;Público;
Madrid-Este;28031440;CP INF-PRI;FRANCISCO DE QUEVEDO;Calle San Vidal, 8 ;Alcalá de Henares;-;28803;918807835;918807835;cp.quevedo.alcala@educa.madrid.org;cp.quevedo.alcala@educa.madrid.org;Público;
Madrid-Oeste;28032511;CP INF-PRI;FRANCISCO DE QUEVEDO;Calle Blas De Otero, 61 ;Majadahonda;-;28220;916347570;916384014;cp.quevedo.majadahonda@educa.madrid.org;-;Público;
Madrid-Capital;28005374;CP INF-PRI;FRANCISCO DE QUEVEDO;Calle De Granada, 16 ;Madrid;Retiro;28007;915515211;914333827;cp.quevedo.madrid@educa.madrid.org;-;Público;
Madrid-Sur;28028830;CP INF-PRI;FRANCISCO DE QUEVEDO;Camino De Los Frailes, 6 ;Leganés;-;28914;916948222;916939224;cp.quevedo.leganes@educa.madrid.org;-;Público;
Madrid-Sur;28029652;CP INF-PRI;FRANCISCO DE QUEVEDO;Calle De Alemania, 18 ;Fuenlabrada;-;28943;916074845;916073663;cp.quevedo.fuenlabrada@educa.madrid.org;-;Público;
Madrid-Sur;28058561;CP INF-PRI;FRANCISCO DE QUEVEDO;Avenida De Las Fuerzas Armadas, 6 ;Getafe;-;28901;916821924;916810669;cp.franciscodequevedo.getafe@educa.madrid.org;-;Público;
Madrid-Capital;28005350;CP INF-PRI;FRANCISCO FATOU;Camino De La Suerte, 23 ;Madrid;Villa de Vallecas;28031;913321050;913323222;cp.franciscofatou.madrid@educa.madrid.org;-;Público;
Madrid-Capital;28005386;CP INF-PRI;FRANCISCO RUANO;Calle De Almuradiel, 150 ;Madrid;Puente de Vallecas;28053;917862196;917862196;cp.franciscoruano.madrid@educa.madrid.org;-;Público;
Madrid-Este;28063957;CP INF-PRI;FRANCISCO TOMAS Y VALIENTE;Calle Paulonia, 2 ;Velilla de San Antonio;-;28891;916608619;916608824;cp.tomasyvaliente.velilla@educa.madrid.org;-;Público;
Madrid-Capital;28005404;CP INF-PRI;FRAY JUNIPERO SERRA;Camino De Valderribas, 120 ;Madrid;Puente de Vallecas;28038;914304882;914376926;cp.frayjunipero.madrid@educa.madrid.org;-;Público;
Madrid-Sur;28042243;CP INF-PRI;FRAY PEDRO DE AGUADO;Calle Duque De Lerma, 2 ;Valdemoro;-;28341;918955956;918083934;cp.fraypedro.valdemoro@educa.madrid.org;-;Público;
Madrid-Sur;28033761;CP INF-PRI;FREGACEDOS;Avenida De Pablo Iglesias, 1 ;Fuenlabrada;-;28942;916892852;916046218;cp.fregacedos.fuenlabrada@educa.madrid.org;fregacedos@telefónica.net;Público;
Madrid-Sur;28063908;CP INF-PRI;FUENTE DE LA VILLA;Ronda De San Sebastián, S/n ;Valdemoro;-;28343;918091946;918091946;cp.fuentedelavilla.valdemoro@educa.madrid.org;-;Público;
Madrid-Sur;28063854;CP INF-PRI;FUENTE DEL PALOMAR;Calle De Camilo José Cela, 2 ;Alcorcón;-;28922;916449864;916449855;cp.fuentedelpalomar.alcorcon@educa.madrid.org;-;Público;
Madrid-Norte;28038471;CP INF-PRI;FUENTE SANTA;Calle Del Real, 114 ;San Sebastián de los Reyes;-;28703;916511311;916515729;cp.fuentesanta.sansebastian@educa.madrid.org;-;Público;
Madrid-Sur;28073884;CP INF-PRI;FUENTES CLARAS;Calle San Isidro, S/n ;Cubas de la Sagra;-;28978;918142993;918144074;cp.fuentesclaras.cubasdelasagra@educa.madrid.org;-;Público;
Madrid-Norte;28031211;CP INF-PRI;FUENTESANTA;Avenida De Andalucía, 55 ;Colmenar Viejo;-;28770;918452904;918453502;cp.fuentesanta.colmenarviejo@educa.madrid.org;cp.fuente.santa@centros2.pntic.mec.es;Público;
Madrid-Sur;28039153;CP INF-PRI;GABRIEL CELAYA;Calle Del Pintor Murillo, 32 ;Móstoles;-;28933;916173359;916173359;cp.gabrielcelaya.mostoles@educa.madrid.org;-;Público;
Madrid-Sur;28035470;CP INF-PRI;GABRIEL GARCIA MARQUEZ;Avenida De España, 66 ;Getafe;-;28903;916826361;-;cp.garciamarquez.getafe@educa.madrid.org;cp.gabriel.garcia.marquez1@centros2.pntic.mec.es;Público;
Madrid-Norte;28033680;CP INF-PRI;GABRIEL GARCIA MARQUEZ;Sector Músicos, 11 ;Tres Cantos;-;28760;918037421;918030996;cp.garciamarquez.trescantos@educa.madrid.org;-;Público;
Madrid-Este;28024873;CP INF-PRI;GABRIEL Y GALAN;Calle Ronda Poniente, 5 ;Torrejón de Ardoz;-;28850;916756360;916756360;cp.gabrielygalan.torrejondeardoz@educa.madrid.org;-;Público;
Madrid-Norte;28026638;CP INF-PRI;GABRIEL Y GALAN;Avenida Olímpica, 16 ;Alcobendas;-;28108;916528965;916538017;cp.gabrielygalan.alcobendas@educa.madrid.org;-;Público;
Madrid-Capital;28063775;CP INF-PRI;GABRIELA MISTRAL;Calle De Mirallos, 3 ;Madrid;Fuencarral-El Pardo;28050;913586549;913586557;cp.gabrielamistral.madrid@educa.madrid.org;-;Público;
Madrid-Sur;28078584;CP INF-PRI;GABRIELA MORREALE;Calle Londres C/v Viena C/v Nogal ;Leganés;-;28918;686141887;917031997;cp.gabrielamorreale.leganes@educa.madrid.org;-;Público;
Madrid-Sur;28063911;CP INF-PRI;GANDHI;Calle Jacinto Benavente, S/n ;Villaviciosa de Odón;-;28670;916163067;916164671;cp.gandhi.villaviciosa@educa.madrid.org;-;Público;
Madrid-Capital;28031804;CP INF-PRI;GANDHI;Calle De Gandhi, 10 ;Madrid;Ciudad Lineal;28017;917544592;913045222;cp.gandhi.madrid@educa.madrid.org;-;Público;
Madrid-Este;28032341;CP INF-PRI;GARCIA LORCA;Calle Torrelaguna, 29 ;Alcalá de Henares;-;28806;918888202;918776389;cp.garcialorca.alcala@educa.madrid.org;-;Público;
Madrid-Capital;28010655;CP INF-PRI;GARCIA MORENTE;Ronda Sur, 229 ;Madrid;Puente de Vallecas;28053;917852016;917856013;cp.garciamorente.madrid@educa.madrid.org;cp.garciamorente.madrid@educa.madrid.org;Público;
Madrid-Capital;28037648;CP INF-PRI;GARCILASO DE LA VEGA;Calle De Trefacio, 18 ;Madrid;Hortaleza;28043;686820149;917161701;cp.garcilaso.madrid@educa.madrid.org;-;Público;
Madrid-Sur;28003407;CP INF-PRI;GARCILASO DE LA VEGA;Calle Fuente De La Salud, 32 ;Griñón;-;28971;918140050;-;cp.garcilaso.grinon@educa.madrid.org;-;Público;
Madrid-Este;28024460;CP INF-PRI;GENERAL IZQUIERDO;Calle Juan De Austria, 40 ;San Martín de la Vega;-;28330;918946438;918937684;cp.generalizquierd.sanmartindelavega@educa.madrid.org;-;Público;
Madrid-Sur;28032535;CP INF-PRI;GERARDO DIEGO;Calle De La Paloma, 43 ;Parla;-;28981;916986901;916986901;cp.gerardodiego.parla@educa.madrid.org;-;Público;
Madrid-Sur;28031041;CP INF-PRI;GERARDO DIEGO;Paseo De La Ermita, 19 ;Leganés;-;28918;916807724;916807724;cp.gerardodiego.leganes@educa.madrid.org;-;Público;
Madrid-Sur;28043031;CP INF-PRI;GINER DE LOS RIOS;Calle Río Guadiana, 8 ;Parla;-;28981;916981805;916989207;cp.ginerdelosrios.parla@educa.madrid.org;-;Público;
Madrid-Sur;28033722;CP INF-PRI;GINER DE LOS RIOS;Calle Elvas, 9 ;Leganés;-;28917;916115712;-;cp.ginerdelosrios.leganes@educa.madrid.org;herminia.indiano@madrid.org;Público;
Madrid-Capital;28026547;CP INF-PRI;GINER DE LOS RIOS;Calle De Membezar, 25 ;Madrid;Puente de Vallecas;28053;917858021;917858021;cp.ginerdelosrios.madrid@educa.madrid.org;-;Público;
Madrid-Este;28035895;CP INF-PRI;GINER DE LOS RIOS;Calle Álamo, 6 ;Torrejón de Ardoz;-;28850;916564952;916780879;cp.ginerdelosrios.torrejondeardoz@educa.madrid.org;cp.ginerdelosrios.torrejondeardoz@educa.madrid.org;Público;
Madrid-Sur;28049407;CP INF-PRI;GINER DE LOS RIOS;Avenida De Los Andes, S/n ;Fuenlabrada;-;28945;916908796;916065578;cp.ginerdelosrios.fuenlabrada@educa.madrid.org;-;Público;
Madrid-Sur;28057039;CP INF-PRI;GLORIA  FUERTES;Avenida De Los Arces, S/n ;Getafe;-;28903;916963512;916835054;cp.gloriafuertes.getafe@educa.madrid.org;-;Público;
Madrid-Este;28049493;CP INF-PRI;GLORIA FUERTES;Calle De La Estación, 36 ;Meco;-;28880;918861614;918861614;cp.gloriafuertes.meco@educa.madrid.org;-;Público;
Madrid-Capital;28035536;CP INF-PRI;GLORIA FUERTES;Calle Del Censo, 3 ;Madrid;Usera;28041;913412180;913410018;cp.gloriafuertes.madrid@educa.madrid.org;-;Público;
Madrid-Capital;28006111;CP INF-PRI;GONZALO DE BERCEO;Avenida De Abrantes, 5 ;Madrid;Carabanchel;28025;915697225;914692174;cp.gonzalodeberceo.madrid@educa.madrid.org;-;Público;
Madrid-Este;28029901;CP INF-PRI;GONZALO DE BERCEO;Avenida De España, S/n ;Coslada;-;28821;916725616;916725616;cp.gonzalodeberceo.coslada@educa.madrid.org;-;Público;
Madrid-Sur;28003778;CP INF-PRI;GONZALO DE BERCEO;Calle San Bernardo, 13 ;Leganés;-;28917;916125100;-;cp.gonzalodeberceo.leganes@educa.madrid.org;-;Público;
Madrid-Capital;28005441;CP INF-PRI;GONZALO FERNANDEZ DE CORDOBA;Calle De Adanero, 3 ;Madrid;Latina;28024;917113625;917113735;cp.fernandezdecord.madrid@educa.madrid.org;-;Público;
Madrid-Sur;28040830;CP INF-PRI;GREEN PEACE;Calle De Miguel De Unamuno, 34 ;Fuenlabrada;-;28944;916152222;916909794;cp.greenpeace.fuenlabrada@educa.madrid.org;-;Público;
Madrid-Este;28025506;CP INF-PRI;GREGORIO CANELLA;Calle Valdeláguila, S/n ;Villalbilla;-;28810;918846397;918846397;cp.gregoriocanella.villalbilla@educa.madrid.org;-;Público;
Madrid-Este;28046145;CP INF-PRI;GUERNICA;Plaza De Guernica, S/n ;San Fernando de Henares;-;28830;916695525;916738741;cp.guernica.sanfernando@educa.madrid.org;cpguernica@yahoo.es;Público;
Madrid-Capital;28049365;CP INF-PRI;GUINDALERA;Calle De Bóston, 1 ;Madrid;Salamanca;28028;917252437;917255776;cp.guindalera.madrid@educa.madrid.org;-;Público;
Madrid-Capital;28005465;CP INF-PRI;GUSTAVO ADOLFO BECQUER;Calle De Santa Genoveva, 32 ;Madrid;Ciudad Lineal;28017;914051507;914053498;cp.becquer.madrid@educa.madrid.org;-;Público;
Madrid-Capital;28005477;CP INF-PRI;HAITI;Calle De Guabairo, 22 ;Madrid;Carabanchel;28047;914220250;914651108;cp.haiti.madrid@educa.madrid.org;-;Público;
Madrid-Este;28063945;CP INF-PRI;HANS CHRISTIAN ANDERSEN;Calle Fernando Trueba, 8 ;Rivas-Vaciamadrid;-;28521;914996866;914996871;cp.hanschristianandersen.rivas@educa.madrid.org;-;Público;
Madrid-Este;28033886;CP INF-PRI;HENARES;Calle De La Ciudad De París, 24 ;Mejorada del Campo;-;28840;916681509;916680771;cp.henares.mejorada@educa.madrid.org;-;Público;
Madrid-Sur;28025661;CP INF-PRI;HERMANOS GARCIA NOBLEJAS;Calle Madroño, 3 ;Villaviciosa de Odón;-;28670;916161414;916164697;cp.garcianoblejas.villaviciosa@educa.madrid.org;-;Público;
Madrid-Este;28002646;CP INF-PRI;HERMANOS ORTIZ DE ZARATE;Calle Sociedad De Cosecheros, 2 ;Chinchón;-;28370;918940961;918941028;cp.ortizdezarate.chinchon@educa.madrid.org;-;Público;
Madrid-Capital;28005489;CP INF-PRI;HERMANOS PINZON;Calle Del Azor, 4 ;Madrid;Latina;28024;915186040;915186040;cp.hermanospinzon.madrid@educa.madrid.org;-;Público;
Madrid-Sur;28003493;CP INF-PRI;HERMANOS TORA;Calle Del Conde, 3 ;Humanes de Madrid;-;28970;916040273;916040538;cp.hermanostora.humanes@educa.madrid.org;cp.hermanostora.humanes@educa.madrid.org;Público;
Madrid-Capital;28005490;CP INF-PRI;HERNAN CORTES;Calle De Los Yébenes, 241 ;Madrid;Latina;28047;917176844;917180472;cp.hernancortes.madrid@educa.madrid.org;-;Público;
Madrid-Norte;28075546;CP INF-PRI;HEROES DEL 2 DE MAYO;Calle Del Orient Express, S/n ;Colmenar Viejo;-;28770;916288889;-;cp.heroesdel2demayo.colmenarviejo@educa.madrid.org;-;Público;
Madrid-Este;28080475;CP INF-PRI;HISPANIDAD;Avenida De Levante C/v Avda. 1º De Mayo ;Rivas-Vaciamadrid;-;28521;918408956;-;cp.hispanidad.rivas@educa.madrid.org;-;Público;
Madrid-Capital;28005519;CP INF-PRI;HONDURAS;Paseo De Federico García Lorca, 19 ;Madrid;Villa de Vallecas;28031;913325719;913325719;cp.honduras.madrid@educa.madrid.org;-;Público;
Madrid-Capital;28040106;CP INF-PRI;HORTALEZA;Calle De Valdetorres De Jarama, 1 ;Madrid;Hortaleza;28033;917642900;913816099;cp.hortaleza.madrid@educa.madrid.org;-;Público;
Madrid-Capital;28025971;CP INF-PRI;IGNACIO ZULOAGA;Calle De Alejandro Rodríguez, 34 ;Madrid;Tetuán;28039;914509620;-;cp.zuloaga.madrid@educa.madrid.org;-;Público;
Madrid-Este;28000558;CP INF-PRI;INFANTA CATALINA;Calle San Vidal, 4 ;Alcalá de Henares;-;28803;918886145;918836953;cp.infantacatalina.alcala@educa.madrid.org;-;Público;
Madrid-Oeste;28039347;CP INF-PRI;INFANTA ELENA;Camino Huertas, 13 ;Pozuelo de Alarcón;-;28223;917155847;913515231;cp.infantaelena.pozuelodealarcon@educa.madrid.org;-;Público;
Madrid-Capital;28063787;CP INF-PRI;INFANTA LEONOR;Calle Monasterio De El Paular, 140 ;Madrid;Fuencarral-El Pardo;28049;917508788;917508847;cp.infantaleonor.madrid@educa.madrid.org;-;Público;
Madrid-Norte;28064068;CP INF-PRI;INFANTA LEONOR;Avenida Alcalde Lorenzo Ginés Brandin, S/n ;San Agustín del Guadalix;-;28750;918489692;918489693;cp.infantaleonor.sanagustin@educa.madrid.org;-;Público;
Madrid-Norte;28035691;CP INF-PRI;INFANTAS ELENA Y CRISTINA;Avenida Del Moscatelar, 15 ;San Sebastián de los Reyes;-;28703;916543775;916543775;cp.infantaselenayc.sansebastian@educa.madrid.org;916543775@colegioinfantas.com;Público;
Madrid-Este;28030368;CP INF-PRI;IPLACEA;Calle Del Río Guadarrama, 1 ;Alcalá de Henares;-;28803;918898885;918837179;cp.iplacea.alcala@educa.madrid.org;-;Público;
Madrid-Capital;28004552;CP INF-PRI;ISAAC ALBENIZ;Calle De La Drácena, 29 ;Madrid;Chamartín;28016;913596972;913596972;cp.albeniz.madrid@educa.madrid.org;-;Público;
Madrid-Capital;28005568;CP INF-PRI;ISAAC PERAL;Glorieta De Rufino Novalvos, 5 ;Madrid;Carabanchel;28025;914726780;-;cp.isaacperal.madrid@educa.madrid.org;-;Público;
Madrid-Sur;28079448;CP INF-PRI;ISABEL LA CATOLICA;Calle Democracia ;Alcorcón;-;28922;648754946;-;cp.isabellacatolica.alcorcon@educa.madrid.org;-;Público;
Madrid-Sur;28023662;CP INF-PRI;ISABEL LA CATOLICA;Calle De San Nicolás, 8 ;Pinto;-;28320;916911057;916925099;cp.isabellacatolica.pinto@educa.madrid.org;-;Público;
Madrid-Capital;28010710;CP INF-PRI;ISABEL LA CATOLICA;Calle De Barceló, 2 ;Madrid;Centro;28004;915217840;915229393;cp.isabellacatolica.madrid@educa.madrid.org;-;Público;
Madrid-Sur;28045153;CP INF-PRI;JACINTO BENAVENTE;Calle Adolfo Marsillach, 3 ;Leganés;-;28914;916860723;917031777;cp.jacintobenavente.leganes@educa.madrid.org;-;Público;
Madrid-Oeste;28037995;CP INF-PRI;JACINTO BENAVENTE;Calle De La Pedriza, 30 ;Galapagar;-;28260;918582893;918582149;cp.jacintobenavente.galapagar@educa.madrid.org;-;Público;
Madrid-Capital;28005601;CP INF-PRI;JAIME BALMES;Calle De Sierra De La Solana, 2 ;Madrid;Puente de Vallecas;28053;914785884;914771646;cp.jaimebalmes.madrid@educa.madrid.org;cp.jaimebalmes.madrid@educa.madrid.org;Público;
Madrid-Este;28036191;CP INF-PRI;JAIME VERA;Calle Brasil, S/n ;Torrejón de Ardoz;-;28850;916560470;916780153;cp.jaimevera.torrejondeardoz@educa.madrid.org;cp.jaimevera.torrejondeardoz@educa.madrid.org;Público;
Madrid-Capital;28050343;CP INF-PRI;JAIME VERA;Calle De Bravo Murillo, 162 ;Madrid;Tetuán;28020;915723019;915709453;cp.jaimevera.madrid@educa.madrid.org;-;Público;
Madrid-Este;28022888;CP INF-PRI;JARAMA;Calle Del Doctor Gonzalo Sierra, 6 ;Mejorada del Campo;-;28840;916790520;916680942;cp.jarama.mejorada@educa.madrid.org;-;Público;
Madrid-Este;28043399;CP INF-PRI;JARAMA;Calle Del Olivo, S/n ;Rivas-Vaciamadrid;-;28522;916667595;913011982;cp.jarama.rivas@educa.madrid.org;-;Público;
Madrid-Capital;28005623;CP INF-PRI;JAVIER DE MIGUEL;Calle Del Puerto De Viñamala, 11 ;Madrid;Puente de Vallecas;28018;913035102;913805770;cp.javierdemiguel.madrid@educa.madrid.org;-;Público;
Madrid-Sur;28028131;CP INF-PRI;JESUS VARELA;Avenida De Portugal, 12 ;Alcorcón;-;28921;916190810;916110902;cp.jesusvarela.alcorcon@educa.madrid.org;usuario@correoweb.madrid.org  /  cp.jesusvarela.alcorcon@educa.madrid.org;Público;
Madrid-Sur;28049468;CP INF-PRI;JOAN MIRO;Calle París, 3 ;Móstoles;-;28938;916455853;-;cp.joanmiro.mostoles@educa.madrid.org;-;Público;
Madrid-Sur;28038252;CP INF-PRI;JOAN MIRO;Calle De La Ingeniería, 2 ;Leganés;-;28914;916807662;916806924;cp.joanmiro.leganes@educa.madrid.org;-;Público;
Madrid-Este;28040891;CP INF-PRI;JOAQUIN BLUME;Calle Joaquín Blume, S/n ;Torrejón de Ardoz;-;28850;916566733;916566533;cp.joaquinblume.torrejondeardoz@educa.madrid.org;joaquinblume@hotmail.com;Público;
Madrid-Capital;28010722;CP INF-PRI;JOAQUIN COSTA;Paseo De Pontones, 8 ;Madrid;Arganzuela;28005;913653632;-;cp.joaquincosta.madrid@educa.madrid.org;-;Público;
Madrid-Sur;28038082;CP INF-PRI;JOAQUIN COSTA;Calle Del Parque Grande, 1 ;Alcorcón;-;28924;916113435;916104905;cp.joaquincosta.alcorcon@educa.madrid.org;-;Público;
Madrid-Capital;28005635;CP INF-PRI;JOAQUIN DICENTA;Paseo Olivos, 70 ;Madrid;Latina;28011;914632093;917550696;cp.joaquindicenta.madrid@educa.madrid.org;-;Público;
Madrid-Capital;28021306;CP INF-PRI;JOAQUIN TURINA;Calle De Arturo Soria, 332 ;Madrid;Ciudad Lineal;28033;913025556;913022741;cp.joaquinturina.madrid@educa.madrid.org;-;Público;
Madrid-Sur;28032420;CP INF-PRI;JOHN LENNON;Calle De Grecia, 21 ;Fuenlabrada;-;28943;916079374;-;cp.johnlennon.fuenlabrada@educa.madrid.org;-;Público;
Madrid-Norte;28064071;CP INF-PRI;JONATHAN GALEA;Calle Enrique Casas, 7 ;Algete;-;28110;916287333;916287338;cp.jonathangalea.algete@educa.madrid.org;-;Público;
Madrid-Capital;28021057;CP INF-PRI;JORGE GUILLEN;Avenida De El Ferrol, 47 ;Madrid;Fuencarral-El Pardo;28029;917393801;917393801;cp.jorgeguillen.madrid@educa.madrid.org;-;Público;
Madrid-Este;28045475;CP INF-PRI;JORGE GUILLEN;Avenida De Nuestra Señora De La Vega, 6 ;San Martín de la Vega;-;28330;918946372;918958635;cp.jorgeguillen.sanmartindelavega@educa.madrid.org;-;Público;
Madrid-Sur;28037193;CP INF-PRI;JORGE GUILLEN;Calle Zaragoza, 15 ;Getafe;-;28903;916817988;916817988;cp.jorgeguillen.getafe@educa.madrid.org;-;Público;
Madrid-Sur;28037788;CP INF-PRI;JORGE GUILLEN;Avenida De Alcorcón, 5 ;Móstoles;-;28936;916461827;916461827;cp.jorgeguillen.mostoles@educa.madrid.org;-;Público;
Madrid-Capital;28005817;CP INF-PRI;JORGE MANRIQUE;Plaza Del Pintor Lucas, 17 ;Madrid;Usera;28026;915656300;915691615;cp.jorgemanrique.madrid@educa.madrid.org;cp.jorgemanrique.madrid;Público;
Madrid-Capital;28038321;CP INF-PRI;JOSE BERGAMIN;Calle De Braille, 19 ;Madrid;Fuencarral-El Pardo;28034;917355560;917345042;cp.josebergamin.madrid@educa.madrid.org;-;Público;
Madrid-Oeste;28041640;CP INF-PRI;JOSE BERGAMIN GUTIERREZ;Calle Islas Cíes, 6 ;Boadilla del Monte;-;28660;916322813;-;cp.josebergamin.boadilla@educa.madrid.org;-;Público;
Madrid-Capital;28010746;CP INF-PRI;JOSE CALVO SOTELO;Avenida De La Ciudad De Barcelona, 83 ;Madrid;Retiro;28007;914337125;914336781;cp.calvosotelo.madrid@educa.madrid.org;-;Público;
Madrid-Capital;28074256;CP INF-PRI;JOSE DE ECHEGARAY;Calle De Puentedey, 14 ;Madrid;Villa de Vallecas;28051;911996781;911996782;cp.josedeechegaray.madrid@educa.madrid.org;cp.josedeechegaray.madrid@hotmail.com;Público;
Madrid-Sur;28065531;CP INF-PRI;JOSE HIERRO;Calle Acuario, 34 ;Parla;-;28983;914240509;914240647;cp.josehierro.parla@educa.madrid.org;https://www.educa2.madrid.org/web/centro.cp.josehierro.parla;Público;
Madrid-Este;28062321;CP INF-PRI;JOSE HIERRO;Avenida De José Hierro, 86 ;Rivas-Vaciamadrid;-;28521;914991147;914991147;cp.josehierro.rivas@educa.madrid.org;-;Público;
Madrid-Este;28069194;CP INF-PRI;JOSE ITURZAETA;Calle Bernardo Atxaga, 13 ;Rivas-Vaciamadrid;-;28521;917518703;917518615;cp.joseiturzaeta.rivas@educa.madrid.org;-;Público;
Madrid-Sur;28035639;CP INF-PRI;JOSE JALON;Calle Felguera, S/n ;Navalcarnero;-;28600;918101069;918101408;cp.josejalon.navalcarnero@educa.madrid.org;-;Público;
Madrid-Sur;28031464;CP INF-PRI;JOSE MARIA DE PEREDA;Calle Moraña, 27 ;Leganés;-;28915;916886052;916886052;cp.pereda.leganes@educa.madrid.org;cp.jose.maria.de.pereda1@centros2.pntic.mec.es;Público;
Madrid-Capital;28005660;CP INF-PRI;JOSE MARIA DE PEREDA;Calle De Mestanza, 94 ;Madrid;Puente de Vallecas;28053;915072651;917861787;cp.pereda.madrid@educa.madrid.org;-;Público;
Madrid-Capital;28021461;CP INF-PRI;JOSE ORTEGA Y GASSET;Calle De Orense, 87 ;Madrid;Tetuán;28020;915720997;915701341;cp.ortegaygasset.madrid@educa.madrid.org;-;Público;
Madrid-Este;28058822;CP INF-PRI;JOSE SARAMAGO;Calle De José Saramago, 1 ;Rivas-Vaciamadrid;-;28522;914991786;914991347;cp.josesaramago.rivas@educa.madrid.org;-;Público;
Madrid-Oeste;28078614;CP INF-PRI;JOSEFINA CARABIAS;Avenida Juan Pablo Ii, S/n ;Boalo, El;-;28492;918573866;918428400;cp.josefinacarabias.mataelpino@educa.madrid.org;-;Público;
Madrid-Capital;28071361;CP INF-PRI;JOSEP TARRADELLAS;Calle De Triacastela, 1 ;Madrid;Fuencarral-El Pardo;28050;914274125;914274161;cp.joseptarradellas.madrid@educa.madrid.org;-;Público;
Madrid-Capital;28005684;CP INF-PRI;JOVELLANOS;Calle De Monroy, 34 ;Madrid;Latina;28044;917055018;915095089;cp.jovellanos.madrid@educa.madrid.org;-;Público;
Madrid-Sur;28046391;CP INF-PRI;JUAN DE AUSTRIA;Avenida Universidad, 28 ;Leganés;-;28911;916804450;916804450;cp.juandeaustria.leganes@educa.madrid.org;-;Público;
Madrid-Este;28028751;CP INF-PRI;JUAN DE AUSTRIA;Avenida De Juan De Austria, 17 ;Alcalá de Henares;-;28804;918886350;918886350;cp.juandeaustria.alcala@educa.madrid.org;-;Público;
Madrid-Sur;28069753;CP INF-PRI;JUAN DE LA CIERVA;Camino Del Molino, 1 ;Fuenlabrada;-;28943;916045000;916893154;cp.juandelacierva.fuenlabrada@educa.madrid.org;-;Público;
Madrid-Capital;28005696;CP INF-PRI;JUAN DE LA CIERVA;Calle De Villarrosa, 7 ;Madrid;Villaverde;28041;917230235;917965560;cp.juandelacierva.madrid@educa.madrid.org;cp.juandelacierva.madrid@educa.madrid.org;Público;
Madrid-Oeste;28025294;CP INF-PRI;JUAN FALCO;Avenida De Segovia, 1 ;Valdemorillo;-;28210;918990078;918991080;cp.juanfalco.valdemorillo@educa.madrid.org;-;Público;
Madrid-Capital;28026535;CP INF-PRI;JUAN GRIS;Calle De Muela De San Juan, 31 ;Madrid;Villa de Vallecas;28031;913327264;913327263;cp.juangris.madrid@educa.madrid.org;-;Público;
Madrid-Sur;28035603;CP INF-PRI;JUAN OCAÑA;Avenida De Los Deportes, 25 ;Móstoles;-;28935;916137117;916137117;cp.juandeocana.mostoles@educa.madrid.org;-;Público;
Madrid-Sur;28023111;CP INF-PRI;JUAN PEREZ VILLAAMIL;Calle Veracruz, 34 Duplicado ;Móstoles;-;28936;916480871;916480820;cp.perezvillamil.mostoles@educa.madrid.org;-;Público;
Madrid-Este;28028945;CP INF-PRI;JUAN RAMON JIMENEZ;Calle Juan Ramón Jiménez, 8 ;Torrejón de Ardoz;-;28850;916762811;916762811;cp.juanramonjimenez.torrejondeardoz@educa.madrid.org;-;Público;
Madrid-Capital;28005714;CP INF-PRI;JUAN RAMON JIMENEZ;Calle Del Marqués De Viana, 58 ;Madrid;Tetuán;28039;915717512;914250976;cp.juanramonjimenez.madrid@educa.madrid.org;-;Público;
Madrid-Capital;28005726;CP INF-PRI;JUAN SEBASTIAN ELCANO;Calle De Mirasierra, 29 ;Madrid;Usera;28026;685477556;914768107;cp.elcano.madrid@educa.madrid.org;-;Público;
Madrid-Capital;28020533;CP INF-PRI;JUAN ZARAGUETA;Calle Vía De Los Poblados, 17 ;Madrid;Hortaleza;28033;917630869;917630869;cp.juanzaragueta.madrid@educa.madrid.org;-;Público;
Madrid-Sur;28039086;CP INF-PRI;JULIAN BESTEIRO;Calle Campos De Castilla, 4 ;Getafe;-;28909;916847034;916096652;cp.julianbesteiro.getafe@educa.madrid.org;-;Público;
Madrid-Sur;28037685;CP INF-PRI;JULIAN BESTEIRO;Calle Santander, 13 ;Parla;-;28982;916986605;916989143;cp.julianbesteiro.parla@educa.madrid.org;-;Público;
Madrid-Sur;28041241;CP INF-PRI;JULIAN BESTEIRO;Calle Del Desarrollo, 52 ;Móstoles;-;28935;916452033;-;cp.julianbesteiro.mostoles@educa.madrid.org;carmen.fernandez.cotillo@madrid.org;Público;
